Date,Date,Open,High,Low,Close,Volume,Adj Close
2016-01-08,42377,16519.16992,16651.89063,16314.57031,16346.4502,141850000,16346.4502
2016-01-07,42376,16888.35938,16888.35938,16463.63086,16514.09961,176240000,16514.09961
2016-01-06,42375,17154.83008,17154.83008,16817.61914,16906.50977,120250000,16906.50977
2016-01-05,42374,17147.5,17195.83984,17038.60938,17158.66016,105750000,17158.66016
2016-01-04,42373,17405.48047,17405.48047,16957.63086,17148.93945,148060000,17148.93945
2015-12-31,42369,17590.66016,17590.66016,17421.16016,17425.0293,93690000,17425.0293
2015-12-30,42368,17711.93945,17714.13086,17588.86914,17603.86914,59760000,17603.86914
2015-12-29,42367,17547.36914,17750.01953,17547.36914,17720.98047,69860000,17720.98047
2015-12-28,42366,17535.66016,17536.90039,17437.33984,17528.26953,59770000,17528.26953
2015-12-24,42362,17593.25977,17606.33984,17543.94922,17552.16992,40350000,17552.16992
2015-12-23,42361,17427.63086,17607.91992,17427.63086,17602.60938,92820000,17602.60938
2015-12-22,42360,17253.55078,17451.10938,17242.85938,17417.26953,91570000,17417.26953
2015-12-21,42359,17154.93945,17272.35938,17116.73047,17251.61914,114910000,17251.61914
2015-12-18,42356,17495.03906,17496.58008,17124.31055,17128.55078,344560000,17128.55078
2015-12-17,42355,17756.53906,17796.75977,17493.5,17495.83984,115780000,17495.83984
2015-12-16,42354,17530.84961,17784.35938,17483.67969,17749.08984,123790000,17749.08984
2015-12-15,42353,17374.7793,17627.63086,17341.17969,17524.91016,123430000,17524.91016
2015-12-14,42352,17277.10938,17378.01953,17138.4707,17368.5,142540000,17368.5
2015-12-11,42349,17574.75,17574.75,17230.5,17265.21094,134510000,17265.21094
2015-12-10,42348,17493.16992,17697.74023,17474.66016,17574.75,107310000,17574.75
2015-12-09,42347,17558.17969,17767.68945,17403.50977,17492.30078,122020000,17492.30078
2015-12-08,42346,17703.99023,17703.99023,17485.39063,17568,113720000,17568
2015-12-07,42345,17845.49023,17845.49023,17639.25,17730.50977,99670000,17730.50977
2015-12-04,42342,17482.67969,17866.4707,17482.67969,17847.63086,137650000,17847.63086
2015-12-03,42341,17741.57031,17780.58984,17425.56055,17477.66992,126990000,17477.66992
2015-12-02,42340,17883.14063,17901.58008,17708.19922,17729.67969,102860000,17729.67969
2015-12-01,42339,17719.7207,17895.5,17719.7207,17888.34961,103880000,17888.34961
2015-11-30,42338,17802.83984,17837.24023,17719.78906,17719.91992,155560000,17719.91992
2015-11-27,42335,17806.03906,17830.35938,17749.32031,17813.39063,82540000,17813.39063
2015-11-25,42333,17820.81055,17854.91992,17801.83008,17813.39063,82540000,17813.39063
2015-11-24,42332,17770.90039,17862.59961,17683.50977,17812.18945,127170000,17812.18945
2015-11-23,42331,17823.60938,17868.17969,17751.5293,17792.67969,134680000,17792.67969
2015-11-20,42328,17732.75,17914.33984,17732.75,17823.81055,153140000,17823.81055
2015-11-19,42327,17739.83008,17772.9707,17681.98047,17732.75,114630000,17732.75
2015-11-18,42326,17485.49023,17752.16016,17485.49023,17737.16016,106810000,17737.16016
2015-11-17,42325,17486.99023,17599.33008,17451.41016,17489.5,167190000,17489.5
2015-11-16,42324,17229.93945,17483.00977,17210.42969,17483.00977,137590000,17483.00977
2015-11-13,42321,17439.25,17439.25,17238.89063,17245.24023,134640000,17245.24023
2015-11-12,42320,17691.92969,17691.92969,17443.5,17448.07031,113660000,17448.07031
2015-11-11,42319,17769.5,17807.17969,17696.91016,17702.2207,95230000,17702.2207
2015-11-10,42318,17724.13086,17768.66016,17657.7207,17758.21094,108640000,17758.21094
2015-11-09,42317,17900.7793,17900.7793,17667.7793,17730.48047,121210000,17730.48047
2015-11-06,42314,17855.2207,17912.03906,17768.59961,17910.33008,107450000,17910.33008
2015-11-05,42313,17871.25,17929.50977,17779.18945,17863.42969,98910000,17863.42969
2015-11-04,42312,17929.58008,17964.11914,17828.83008,17867.58008,99890000,17867.58008
2015-11-03,42311,17819.74023,17977.84961,17796.01953,17918.15039,92290000,17918.15039
2015-11-02,42310,17672.61914,17845.90039,17655.01953,17828.75977,100840000,17828.75977
2015-10-30,42307,17756.59961,17799.96094,17662.86914,17663.53906,149250000,17663.53906
2015-10-29,42306,17771.5,17786,17684.7207,17755.80078,90300000,17755.80078
2015-10-28,42305,17586.68945,17779.94922,17556.71094,17779.51953,115630000,17779.51953
2015-10-27,42304,17608.89063,17635.17969,17540.57031,17581.42969,113960000,17581.42969
2015-10-26,42303,17649.57031,17660.69922,17602.50977,17623.05078,116660000,17623.05078
2015-10-23,42300,17525.10938,17679.36914,17525.10938,17646.69922,158090000,17646.69922
2015-10-22,42299,17180.88086,17505.17969,17180.88086,17489.16016,152420000,17489.16016
2015-10-21,42298,17225.92969,17314.99023,17153.13086,17168.60938,107100000,17168.60938
2015-10-20,42297,17228.4707,17264.88086,17147.99023,17217.10938,106670000,17217.10938
2015-10-19,42296,17209.42969,17235.94922,17129.18945,17230.53906,118430000,17230.53906
2015-10-16,42293,17141.75,17220.01953,17107.34961,17215.9707,145880000,17215.9707
2015-10-15,42292,16944.85938,17144.41992,16933.57031,17141.75,122960000,17141.75
2015-10-14,42291,17079.08008,17111.38086,16887.66992,16924.75,120110000,16924.75
2015-10-13,42290,17113.55078,17172.81055,17034.44922,17081.89063,99400000,17081.89063
2015-10-12,42289,17082.28906,17139.21094,17064.58008,17131.85938,72500000,17131.85938
2015-10-09,42286,17054.68945,17110.88086,17027.23047,17084.49023,103730000,17084.49023
2015-10-08,42285,16904.16992,17081.2793,16859.33984,17050.75,100730000,17050.75
2015-10-07,42284,16805.41992,16963.30078,16765,16912.28906,115690000,16912.28906
2015-10-06,42283,16774.01953,16865.08984,16746.0293,16790.18945,120010000,16790.18945
2015-10-05,42282,16502.09961,16798.36914,16502.09961,16776.42969,127660000,16776.42969
2015-10-02,42279,16258.25,16472.76953,16013.66016,16472.36914,136870000,16472.36914
2015-10-01,42278,16278.62012,16348.87012,16073.82031,16272.00977,111420000,16272.00977
2015-09-30,42277,16057.08008,16297.59961,16057.08008,16284.7002,145740000,16284.7002
2015-09-29,42276,16001.75977,16118.88965,15942.37012,16049.12988,121160000,16049.12988
2015-09-28,42275,16313.25977,16313.25977,15981.84961,16001.88965,139930000,16001.88965
2015-09-25,42272,16205.07031,16465.23047,16205.07031,16314.66992,130790000,16314.66992
2015-09-24,42271,16257.11035,16257.11035,16016.36035,16201.32031,122220000,16201.32031
2015-09-23,42270,16332.80957,16355.29004,16211.98047,16279.88965,86030000,16279.88965
2015-09-22,42269,16477.44922,16477.44922,16221.73047,16330.46973,119010000,16330.46973
2015-09-21,42268,16406.09961,16578.59961,16391.88086,16510.18945,90730000,16510.18945
2015-09-18,42265,16674.74023,16674.74023,16343.75977,16384.58008,341690000,16384.58008
2015-09-17,42264,16738.08008,16933.42969,16639.92969,16674.74023,129600000,16674.74023
2015-09-16,42263,16599.50977,16755.98047,16593.90039,16739.94922,99620000,16739.94922
2015-09-15,42262,16382.58008,16644.10938,16382.58008,16599.84961,93050000,16599.84961
2015-09-14,42261,16450.85938,16450.85938,16330.87012,16370.95996,92660000,16370.95996
2015-09-11,42258,16330.40039,16434.75977,16244.65039,16433.08984,104630000,16433.08984
2015-09-10,42257,16252.57031,16441.93945,16212.08008,16330.40039,122690000,16330.40039
2015-09-09,42256,16505.03906,16664.65039,16220.09961,16253.57031,118790000,16253.57031
2015-09-08,42255,16109.92969,16503.41016,16109.92969,16492.67969,123870000,16492.67969
2015-09-04,42251,16371.75977,16371.75977,16026.61035,16102.37988,127270000,16102.37988
2015-09-03,42250,16364.33984,16550.07031,16317.30957,16374.75977,109730000,16374.75977
2015-09-02,42249,16058.34961,16352.58008,16058.34961,16351.37988,133480000,16351.37988
2015-09-01,42248,16528.0293,16528.0293,15979.9502,16058.34961,171390000,16058.34961
2015-08-31,42247,16632.01953,16632.01953,16444.05078,16528.0293,141440000,16528.0293
2015-08-28,42244,16649.41992,16669.9707,16535.17969,16643.00977,131790000,16643.00977
2015-08-27,42243,16285.50977,16666.68945,16285.50977,16654.76953,171980000,16654.76953
2015-08-26,42242,15676.25977,16303.75,15676.25977,16285.50977,208420000,16285.50977
2015-08-25,42241,15882.26953,16312.94043,15651.24023,15666.44043,213220000,15666.44043
2015-08-24,42240,16459.75,16459.75,15370.33008,15871.34961,293920000,15871.34961
2015-08-21,42237,16990.68945,16990.68945,16459.55078,16459.75,225170000,16459.75
2015-08-20,42236,17345.32031,17345.32031,16990.68945,16990.68945,128530000,16990.68945
2015-08-19,42235,17508.74023,17517.18945,17282.41992,17348.73047,104720000,17348.73047
2015-08-18,42234,17537.30078,17568.40039,17486.41992,17511.33984,79900000,17511.33984
2015-08-17,42233,17472.66016,17551.40039,17341.7207,17545.17969,73380000,17545.17969
